Platform,Tier,LowerBound,UpperBound,ROI
Print,1,0,0.7,0.0345
Print,2,0.7,2.7,0.0305
Print,3,2.7,4.7,0.0276
Print,4,4.7,inf,0.0234
TV,1,0,4.3,0.0608
TV,2,4.3,inf,0.0503
SEO,1,0,3.6,0.0288
SEO,2,3.6,inf,0.0269
AdWords,1,0,2,0.0419
AdWords,2,2,2.3,0.0358
AdWords,3,2.3,inf,0.029
Facebook,1,0,1,0.0187
Facebook,2,1,1.8,0.015
Facebook,3,1.8,inf,0.0131
LinkedIn,1,0,0.7,0.0257
LinkedIn,2,0.7,2.7,0.0223
LinkedIn,3,2.7,4.8,0.0204
LinkedIn,4,4.8,inf,0.0192
Instagram,1,0,2.9,0.0574
Instagram,2,2.9,inf,0.0498
Snapchat,1,0,2.2,0.0278
Snapchat,2,2.2,2.7,0.0243
Snapchat,3,2.7,inf,0.0203
Twitter,1,0,2.3,0.0407
Twitter,2,2.3,3.4,0.0354
Twitter,3,3.4,inf,0.0293
Email,1,0,5.9,0.0493
Email,2,5.9,inf,0.0405
